created,text,retwc,hashtag,followers,friends
10/28/2019 9:18,"b""RT @ZeeNews: Haryana Deputy CM Dushyant Chautala slams Congress over allegations of betraying voters' trust\n\n#HaryanaAssemblyPolls \n\nhttps:\xe2\x80\xa6""",25,HaryanaAssemblyPolls,255,260
10/28/2019 9:15,b'RT @parulsabherwal: Big Breaking now on @News18India - \n\n@BJP4India and #JJP all set to form coalition govt in #Haryana - \n\nChief Minister\xe2\x80\xa6',6,JJP,658,136
10/28/2019 8:56,b'RT @TheDeshBhakt: Revealed....how opinion polls &amp; exit polls are really done on news channels. \xf0\x9f\x98\xb2\xf0\x9f\x98\xb2\n#ElectionResults2019 \n#HaryanaAssemblyPol\xe2\x80\xa6',246,ElectionResults2019,85,131
10/28/2019 8:48,"b""RT @ZeeNews: Haryana Deputy CM Dushyant Chautala slams Congress over allegations of betraying voters' trust\n\n#HaryanaAssemblyPolls \n\nhttps:\xe2\x80\xa6""",25,HaryanaAssemblyPolls,82,206
10/28/2019 8:42,"b""RT @ZeeNews: Haryana Deputy CM Dushyant Chautala slams Congress over allegations of betraying voters' trust\n\n#HaryanaAssemblyPolls \n\nhttps:\xe2\x80\xa6""",25,HaryanaAssemblyPolls,35,195
10/28/2019 8:36,"b'RT @sairashahhalim: We need to celebrate democracy,as now we have @BJP4India\nIn every state hook or crook,criminals et all.\n\n#HaryanaAssemb\xe2\x80\xa6'",11,None,314,2075
10/28/2019 8:32,b'RT @BJPSanjayJoshi: I extend my best wishes to @mlkhattar and @Dchautala for forming the government in Haryana. The state shall progress by\xe2\x80\xa6',34,None,704,442
10/28/2019 8:30,"b""RT @ZeeNews: Haryana Deputy CM Dushyant Chautala slams Congress over allegations of betraying voters' trust\n\n#HaryanaAssemblyPolls \n\nhttps:\xe2\x80\xa6""",25,HaryanaAssemblyPolls,12,211
10/28/2019 8:15,"b""RT @ZeeNews: Haryana Deputy CM Dushyant Chautala slams Congress over allegations of betraying voters' trust\n\n#HaryanaAssemblyPolls \n\nhttps:\xe2\x80\xa6""",25,HaryanaAssemblyPolls,64,154
10/28/2019 8:10,"b""RT @ZeeNews: Haryana Deputy CM Dushyant Chautala slams Congress over allegations of betraying voters' trust\n\n#HaryanaAssemblyPolls \n\nhttps:\xe2\x80\xa6""",25,HaryanaAssemblyPolls,29,156
10/28/2019 8:10,b'RT @apnnewsindia: Manohar Lal Khattar takes oath as Haryana CM for 2nd term with Dushyant Chautala as Deputy\n#ManoharLalKhattar #DushyantCh\xe2\x80\xa6',1,ManoharLalKhattar,396,29
10/28/2019 8:09,"b""RT @ZeeNews: Haryana Deputy CM Dushyant Chautala slams Congress over allegations of betraying voters' trust\n\n#HaryanaAssemblyPolls \n\nhttps:\xe2\x80\xa6""",25,HaryanaAssemblyPolls,1455,1187
10/28/2019 8:06,"b""RT @ZeeNews: Haryana Deputy CM Dushyant Chautala slams Congress over allegations of betraying voters' trust\n\n#HaryanaAssemblyPolls \n\nhttps:\xe2\x80\xa6""",25,HaryanaAssemblyPolls,990,237
10/28/2019 8:05,b'RT @SatlokSheetal: #ElectionResults2019 \nNostradamus prediction !\nSaint Rampal Ji Maharaj will bring the golden age on earth.\n#HaryanaAssem\xe2\x80\xa6',20,ElectionResults2019,9,29
10/28/2019 8:01,"b""RT @ZeeNews: Haryana Deputy CM Dushyant Chautala slams Congress over allegations of betraying voters' trust\n\n#HaryanaAssemblyPolls \n\nhttps:\xe2\x80\xa6""",25,HaryanaAssemblyPolls,1701,3150
10/28/2019 7:59,b'RT @Bollywoodirect: Surely #JaspalBhatti was a visionary and ahead of his time. \n\nToday is also his 7th death anniversary. \n\n#HaryanaAssemb\xe2\x80\xa6',24,JaspalBhatti,228,1837
10/28/2019 7:56,"b""RT @ZeeNews: Haryana Deputy CM Dushyant Chautala slams Congress over allegations of betraying voters' trust\n\n#HaryanaAssemblyPolls \n\nhttps:\xe2\x80\xa6""",25,HaryanaAssemblyPolls,38,215
10/28/2019 7:55,"b""RT @ZeeNews: Haryana Deputy CM Dushyant Chautala slams Congress over allegations of betraying voters' trust\n\n#HaryanaAssemblyPolls \n\nhttps:\xe2\x80\xa6""",25,HaryanaAssemblyPolls,373,930
10/28/2019 7:55,"b""RT @ZeeNews: Haryana Deputy CM Dushyant Chautala slams Congress over allegations of betraying voters' trust\n\n#HaryanaAssemblyPolls \n\nhttps:\xe2\x80\xa6""",25,HaryanaAssemblyPolls,1219,2120
